accommodation_name,accommodation_address,accommodation_rating,City
Freeman on Ford,"97 Ford St, Beechworth VIC 3747, Australia",5.0,BEECHWORTH
Hibernian Apartments Beechworth,"36 Camp St, Beechworth VIC 3747, Australia",4.8,BEECHWORTH
The Graces Beechworth,"34 Loch St, Beechworth VIC 3747, Australia",4.9,BEECHWORTH
Gorge,"10 Last St, Beechworth VIC 3747, Australia",4.8,BEECHWORTH
Tanswell's Commercial Hotel,"Tanswells Commercial Hote, 50 Ford St, Beechworth VIC 3747, Australia",3.9,BEECHWORTH
Beechworth Cabins,"18 High St, Beechworth VIC 3747, Australia",4.4,BEECHWORTH
Hotel Nicholas,"1A Camp St, Beechworth VIC 3747, Australia",4.3,BEECHWORTH
1860 Luxury Accommodation,"4 Surrey Ln, Beechworth VIC 3747, Australia",4.4,BEECHWORTH
Lilac Cottage,"23 Williams St, Beechworth VIC 3747, Australia",5.0,BEECHWORTH
Best Western Plus Buckingham International,"1130 Nepean Hwy, Highett VIC 3190, Australia",4.1,CHELTENHAM
Parkdale Motor Inn,"202-208 Nepean Hwy, Parkdale VIC 3195, Australia",3.3,CHELTENHAM
Beaumaris Bay Motel,"31 Bodley St, Beaumaris VIC 3193, Australia",4.2,CHELTENHAM
Quest Cheltenham,"37-39 Station Rd, Cheltenham VIC 3192, Australia",4.1,CHELTENHAM
Sandbelt Club Hotel,"630 South Rd, Moorabbin VIC 3189, Australia",3.7,CHELTENHAM
Quest Moorabbin serviced apartment,"3 Kingston Rd, Heatherton VIC 3202, Australia",4.3,CHELTENHAM
The Dingley Hotel,"334 Boundary Rd, Dingley Village VIC 3172, Australia",4.1,CHELTENHAM
Dingley International Motel,"334 Boundary Rd, Dingley Village VIC 3172, Australia",4.4,CHELTENHAM
Nightcap at Sandringham Hotel,"Cnr Beach &, Bay Rd, Sandringham VIC 3191, Australia",4.0,CHELTENHAM
Sandy Hill Serviced Apartments,"220 Bay Rd, Sandringham VIC 3191, Australia",4.3,CHELTENHAM
Nightcap at Keysborough Hotel,"Cheltenham Rd, Keysborough VIC 3173, Australia",4.2,CHELTENHAM
Clayton-Monash Motor Inn & Serviced Apartments,"1790 Princes Hwy, Clayton VIC 3168, Australia",3.8,CHELTENHAM
Lamplighter Motel,"1440 Dandenong Rd, Oakleigh VIC 3166, Australia",3.0,CHELTENHAM
The Mulgrave Motel (Formerly Mulgrave Court Motor Inn),"5 Harcourt Ave, Mulgrave VIC 3170, Australia",3.8,CHELTENHAM
Chadstone Executive Motel,"1364 Dandenong Rd, Hughesdale VIC 3166, Australia",3.1,CHELTENHAM
Evancourt Motel,"1015/1019 Princes Hwy Service Rd, Malvern East VIC 3145, Australia",3.0,CHELTENHAM
Aspendale Shore Motel,"31 Nepean Hwy, Aspendale VIC 3195, Australia",3.0,CHELTENHAM
Gateway on Monash Hotel,"630 Blackburn Rd, Notting Hill VIC 3168, Australia",4.0,CHELTENHAM
Waltzing Matilda Hotel,"856 Heatherton Rd, Springvale VIC 3171, Australia",3.8,CHELTENHAM
Seaside Home,"35 Shelley St, Elwood VIC 3184, Australia",4.7,CHELTENHAM
Punthill Apartment Hotel Knox,"337 Stud Rd, Wantirna South VIC 3152, Australia",3.4,WANTIRNA SOUTH
Melbourne Knox Central Apartment Hotel,"400 Burwood Hwy, Wantirna South VIC 3152, Australia",4.6,WANTIRNA SOUTH
Hotel Cavalier,"343 Stud Rd, Wantirna South VIC 3152, Australia",3.3,WANTIRNA SOUTH
Knox International Hotel and Apartments,"137 Mountain Hwy, Wantirna VIC 3152, Australia",3.3,WANTIRNA SOUTH
Golden Pebble Hotel,"500 Boronia Rd, Wantirna VIC 3152, Australia",3.7,WANTIRNA SOUTH
The Burvale Hotel,"Cnr Springvale Rd &, Burwood Hwy, Nunawading VIC 3131, Australia",3.8,WANTIRNA SOUTH
Nightcap at Ferntree Gully Hotel Motel,"1130 Burwood Hwy, Ferntree Gully VIC 3156, Australia",4.0,WANTIRNA SOUTH
The Waverley International Hotel,"301 Springvale Rd, Glen Waverley VIC 3150, Australia",3.8,WANTIRNA SOUTH
Quality Hotel Manor,"669 Maroondah Hwy, Mitcham VIC 3132, Australia",3.8,WANTIRNA SOUTH
Burwood East Motel,"355 Blackburn Road, Melbourne (burwood East) VIC 3151, Australia",4.0,WANTIRNA SOUTH
Nightcap at Manhattan Hotel,"Cnr Heatherdale & Canterbury Roads, Ringwood VIC 3134, Australia",5.0,WANTIRNA SOUTH
Rowville International Hotel,"1233 Stud Rd, Rowville VIC 3178, Australia",4.0,WANTIRNA SOUTH
Gateway on Monash Hotel,"630 Blackburn Rd, Notting Hill VIC 3168, Australia",4.0,WANTIRNA SOUTH
Kubix,"400 Burwood Hwy, Wantirna South VIC 3152, Australia",3.7,WANTIRNA SOUTH
ibis Melbourne Glen Waverley,"297 Springvale Rd, Glen Waverley VIC 3150, Australia",4.1,WANTIRNA SOUTH
Ringwood Lake Inn,"327 Maroondah Hwy, Melbourne VIC 3134, Australia",3.9,WANTIRNA SOUTH
Clayton-Monash Motor Inn & Serviced Apartments,"1790 Princes Hwy, Clayton VIC 3168, Australia",3.8,WANTIRNA SOUTH
Nunawading Motor Inn,"245 Whitehorse Rd, Nunawading VIC 3131, Australia",3.5,WANTIRNA SOUTH
Quest Burwood East,"315 Burwood Hwy, Burwood East VIC 3151, Australia",4.7,WANTIRNA SOUTH
Glen Inn Motel & Apartments,"605 Ferntree Gully Rd, Glen Waverley VIC 3150, Australia",3.4,WANTIRNA SOUTH
Morwell Motel,"259 Princes Dr, Morwell VIC 3840, Australia",4.3,MORWELL
Parkside Motel,"245 Princes Dr, Morwell VIC 3840, Australia",3.7,MORWELL
Mid valley Motel,"14 Chickerell St, Morwell VIC 3840, Australia",4.3,MORWELL
Always Welcome Motel,"7 Maryvale Cres, Morwell VIC 3840, Australia",4.1,MORWELL
Coal Valley Motor Inn,"141 Princes Dr, Morwell VIC 3840, Australia",4.5,MORWELL
"Farnham Court Motel, Restaurant & Conferencing","24/30 Princes Dr, Morwell VIC 3840, Australia",4.6,MORWELL
503 On Princes Drive Motel,"503 Princes Dr, Morwell VIC 3840, Australia",4.0,MORWELL
City Gardens Motel,"80 Argyle St, Traralgon VIC 3844, Australia",4.4,MORWELL
Bridges on Argyle Motel,"84/90 Argyle St, Traralgon VIC 3844, Australia",4.6,MORWELL
Best Western Governor Gipps Motor Inn,"59/63 Argyle St, Traralgon VIC 3844, Australia",3.7,MORWELL
Strzelecki Motor Lodge,"54 Argyle St, Traralgon VIC 3844, Australia",3.4,MORWELL
Motel Traralgon,"Princes Hwy &, Lodge Dr, Traralgon VIC 3844, Australia",4.2,MORWELL
Connell's Motel,"144 Princes Hwy, Traralgon VIC 3844, Australia",4.3,MORWELL
Moe Parklands Motel,"98-110 Narracan Dr, Newborough VIC 3825, Australia",4.1,MORWELL
Moe Motor Inn,"3-13 Fowler St, Moe VIC 3825, Australia",3.9,MORWELL
Matchbox Gallery,"36 Main St, Yinnar VIC 3869, Australia",4.5,MORWELL
Wedderburn Goldseeker Motel,"43-49 High St, Wedderburn VIC 3518, Australia",4.3,WEDDERBURN
Central Highlands Motor Inn,"104 High St, Kyneton VIC 3444, Australia",4.2,KYNETON
Kyneton Springs Motel,"101 Piper St, Kyneton VIC 3444, Australia",3.6,KYNETON
Newmarket Kyneton Hotel,"98/100 Mollison St, Kyneton VIC 3444, Australia",3.6,KYNETON
Shamrock Hotel,"120 Mollison St, Kyneton VIC 3444, Australia",4.2,KYNETON
Malmsbury Hotel & Motel,"Malmsbury Motel, 85 Mollison St, Malmsbury VIC 3446, Australia",4.2,KYNETON
Goldies on Piper Kyneton,"92 Piper St, Kyneton VIC 3444, Australia",0.0,KYNETON
Kyneton Bushland Resort,"252 Edgecombe Rd, Kyneton VIC 3444, Australia",4.5,KYNETON
Flop House,"60/58 Piper St, Kyneton VIC 3444, Australia",4.3,KYNETON
Isabella at Kyneton,"10 Bowen St, Kyneton VIC 3444, Australia",5.0,KYNETON
Flynns Hill,"114 Flynns Ln, Kyneton VIC 3444, Australia",4.4,KYNETON
Rostrevor Cottage Kyneton,"39 Lauriston-Drummond Rd, Drummond VIC 3461, Australia",5.0,KYNETON
Saint Agnes Homestead,"30 Burton Ave, Kyneton VIC 3444, Australia",4.7,KYNETON
Blue Rosella on Piper,"3/15A Piper St, Kyneton VIC 3444, Australia",2.2,KYNETON
Kyneton Ridge Winery,"517 Blackhill Rd, Kyneton VIC 3444, Australia",4.7,KYNETON
Piper and Powlett,"63 Piper St, Kyneton VIC 3444, Australia",5.0,KYNETON
Oak Hill Woodend,"29 Waterworks Rd, Woodend VIC 3442, Australia",5.0,KYNETON
Destination Kyneton,"176 Mollison St, Kyneton VIC 3444, Australia",5.0,KYNETON
The Cosmopolitan Hotel,"21 High St, Trentham VIC 3458, Australia",4.3,KYNETON
B&B on Piper,"81 Piper St, Kyneton VIC 3444, Australia",4.5,KYNETON
Hedge Farm,"124 Three Chain Rd, Carlsruhe VIC 3442, Australia",5.0,KYNETON
Nightcap at Shoppingtown Hotel,"19 Williamsons Rd, Doncaster VIC 3108, Australia",4.2,DONCASTER
Shoppingtown Hotel,"19 Williamsons Rd, Doncaster VIC 3108, Australia",3.9,DONCASTER
Beau Monde International,"934 Doncaster Rd, Doncaster East VIC 3109, Australia",3.9,DONCASTER
Best Western Plus The Tudor,"1101 Whitehorse Rd, Box Hill VIC 3128, Australia",3.6,DONCASTER
Quest Doncaster,"845-855 Doncaster Rd, Doncaster VIC 3108, Australia",4.0,DONCASTER
Motel Maroondah,"768 Whitehorse Rd, Mont Albert VIC 3127, Australia",2.5,DONCASTER
Elizabethan Lodge,"604-610 Middleborough Rd, Blackburn North VIC 3130, Australia",4.2,DONCASTER
Pathfinder motel,"380 Cotham Rd, Kew VIC 3101, Australia",3.4,DONCASTER
Bell Motel,"2 Patterson St, Preston VIC 3072, Australia",4.1,DONCASTER
Whitehorse Apartments Hotel,"770 Whitehorse Rd, Mont Albert VIC 3127, Australia",3.3,DONCASTER
Nunawading Motor Inn,"245 Whitehorse Rd, Nunawading VIC 3131, Australia",3.5,DONCASTER
Crystal Brook Tourist Park,"182 Heidelberg-Warrandyte Rd, Doncaster East VIC 3109, Australia",4.0,DONCASTER
The Burvale Hotel,"Cnr Springvale Rd &, Burwood Hwy, Nunawading VIC 3131, Australia",3.8,DONCASTER
ADA Homestay,"18 Ada St, Doncaster VIC 3108, Australia",4.0,DONCASTER
City Edge Box Hill Apartment Hotel,"1 Elland Ave, Box Hill VIC 3128, Australia",3.5,DONCASTER
Quality Hotel Manor,"669 Maroondah Hwy, Mitcham VIC 3132, Australia",3.8,DONCASTER
Avani Melbourne Box Hill Residences,"12-14 Nelson Rd, Box Hill VIC 3128, Australia",4.3,DONCASTER
Quest Mont Albert,"741/745 Whitehorse Rd, Box Hill VIC 3127, Australia",4.5,DONCASTER
Burwood East Motel,"355 Blackburn Road, Melbourne (burwood East) VIC 3151, Australia",4.0,DONCASTER
Greensborough Motor Inn,"245 Greensborough Rd, Macleod VIC 3085, Australia",3.7,DONCASTER
Mansfield Valley Motor Inn,"2 Elvins St, Mansfield VIC 3722, Australia",3.7,MANSFIELD
Alzburg Resort,"39 Malcolm St, Mansfield VIC 3722, Australia",4.2,MANSFIELD
Mansfield Motel,"3 Highett St, Mansfield VIC 3722, Australia",4.2,MANSFIELD
The Deck Quarters Boutique Acccommodation,"Highett St & High Street, Mansfield VIC 3722, Australia",4.9,MANSFIELD
Mansfield Travellers Lodge and Backpackers,"116 High St, Mansfield VIC 3722, Australia",4.4,MANSFIELD
"Delatite Hotel, Mansfield","95 High St, Mansfield VIC 3722, Australia",4.3,MANSFIELD
All Seasons Mansfield,"2 Greenvale Ln, Mansfield VIC 3722, Australia",4.1,MANSFIELD
Mansfield Holiday Park,"8 Timothy Ln, Mansfield VIC 3722, Australia",4.0,MANSFIELD
MANSFIELD APARTMENTS,"1/30 Nolan St, Mansfield VIC 3722, Australia",4.2,MANSFIELD
Mansfield Hotel,"86 High St, Mansfield VIC 3722, Australia",4.0,MANSFIELD
Highton Manor B&B and Motel,"140 Highton Ln, Mansfield VIC 3722, Australia",3.4,MANSFIELD
Mansfield SPA Retreat,"92 Malcolm St, Mansfield VIC 3722, Australia",4.3,MANSFIELD
Bluegum Ridge Cottages,"434 Buttercup Rd, Merrijig VIC 3723, Australia",4.2,MANSFIELD
Merrijig Motor Inn,"1915 Mt Buller Rd, Merrijig VIC 3723, Australia",4.5,MANSFIELD
Rosedale House,"146 Mt Battery Rd, Mansfield VIC 3722, Australia",4.8,MANSFIELD
Wombat Hills Cottages,"55 Lochiel Rd, Barwite VIC 3722, Australia",5.0,MANSFIELD
Burnt Creek Cottages,"60 Ohanlon Rd, Mansfield VIC 3722, Australia",4.7,MANSFIELD
High Country Holiday Park,"1 Ultimo St, Mansfield VIC 3722, Australia",4.4,MANSFIELD
Alpine Country Cottages,"5 The Parade, Mansfield VIC 3722, Australia",5.0,MANSFIELD
Mansfield Accommodation - Elouera,"2 Ryan St, Mansfield VIC 3722, Australia",3.0,MANSFIELD
Footscray Motor Inn,"90 Droop St, Footscray VIC 3011, Australia",3.7,FOOTSCRAY
Plough Hotel Footscray,"333 Barkly St, Footscray VIC 3011, Australia",4.3,FOOTSCRAY
The Footscray Hotel,"48 Hopkins St, Footscray VIC 3011, Australia",4.7,FOOTSCRAY
The Lodge,"481 Melbourne Rd, Newport VIC 3015, Australia",3.8,FOOTSCRAY
Palms Motel,"50 Geelong Rd, Footscray VIC 3011, Australia",2.5,FOOTSCRAY
Melrose Apartments,"171 Melrose St, North Melbourne VIC 3051, Australia",4.4,FOOTSCRAY
Newport Homestay & Lodge,"481 Melbourne Rd, Newport VIC 3015, Australia",4.6,FOOTSCRAY
Quest Maribyrnong,"2A Wests Rd, Maribyrnong VIC 3032, Australia",4.6,FOOTSCRAY
Arden Motel,"15 Arden St, North Melbourne VIC 3051, Australia",3.7,FOOTSCRAY
Discovery Parks - Melbourne,"129 Ashley St, Braybrook VIC 3019, Australia",4.2,FOOTSCRAY
The Red Door Footscray,"2/50 Liverpool St, Footscray VIC 3011, Australia",0.0,FOOTSCRAY
Ashley Hotel,"226 Ballarat Rd, Braybrook VIC 3019, Australia",3.9,FOOTSCRAY
Private Luxury Bedroom,"2/19 Errol St, Footscray VIC 3011, Australia",0.0,FOOTSCRAY
Park Squire Motor Inn & Serviced Apartments,"94 Flemington Rd, Parkville VIC 3052, Australia",3.7,FOOTSCRAY
Stay Belgravia,"69 Hyde St, Footscray VIC 3011, Australia",5.0,FOOTSCRAY
Miami Hotel Melbourne,"13 Hawke St, West Melbourne VIC 3003, Australia",4.1,FOOTSCRAY
British Apartments,"162-168 Arden St, North Melbourne VIC 3051, Australia",3.7,FOOTSCRAY
Quest Flemington,"600 Epsom Rd, Flemington VIC 3031, Australia",4.2,FOOTSCRAY
The Great Southern Hotel Melbourne,"44 Spencer St, Melbourne VIC 3000, Australia",3.7,FOOTSCRAY
Atlantis Hotel,"300 Spencer St, Melbourne VIC 3000, Australia",4.0,FOOTSCRAY
Ringwood Lake Inn,"327 Maroondah Hwy, Melbourne VIC 3134, Australia",3.9,RINGWOOD
Quality Hotel Manor,"669 Maroondah Hwy, Mitcham VIC 3132, Australia",3.8,RINGWOOD
Nightcap at Manhattan Hotel,"Cnr Heatherdale & Canterbury Roads, Ringwood VIC 3134, Australia",5.0,RINGWOOD
Sage Hotel Melbourne Ringwood,"F5 Eastland Shopping Centre, 211 Maroondah Hwy, Ringwood VIC 3134, Australia",4.3,RINGWOOD
Ringwood Motel,"442 Maroondah Hwy, Croydon VIC 3136, Australia",2.9,RINGWOOD
The Sebel Melbourne Ringwood,"96 Maroondah Hwy, Ringwood VIC 3134, Australia",0.0,RINGWOOD
Ringwood Royale Serviced Apartments,"N/6 Warrandyte Rd, Ringwood VIC 3134, Australia",4.7,RINGWOOD
Nunawading Motor Inn,"245 Whitehorse Rd, Nunawading VIC 3131, Australia",3.5,RINGWOOD
Manhattan Hotel,"Heatherdale Road &, Canterbury Rd, Ringwood VIC 3134, Australia",3.8,RINGWOOD
The Burvale Hotel,"Cnr Springvale Rd &, Burwood Hwy, Nunawading VIC 3131, Australia",3.8,RINGWOOD
Dorset Gardens Hotel,"335 Dorset Rd, Croydon VIC 3136, Australia",3.8,RINGWOOD
Beau Monde International,"934 Doncaster Rd, Doncaster East VIC 3109, Australia",3.9,RINGWOOD
Australian Home Away Bardia Ringwood,"21-23 Bardia St, Ringwood VIC 3134, Australia",4.5,RINGWOOD
Victoria House Motor Inn,"331 Maroondah Hwy, Croydon VIC 3136, Australia",4.5,RINGWOOD
Knox International Hotel and Apartments,"137 Mountain Hwy, Wantirna VIC 3152, Australia",3.3,RINGWOOD
Golden Pebble Hotel,"500 Boronia Rd, Wantirna VIC 3152, Australia",3.7,RINGWOOD
Hotel Cavalier,"343 Stud Rd, Wantirna South VIC 3152, Australia",3.3,RINGWOOD
Amber,"96 Maroondah Hwy, Ringwood VIC 3134, Australia",0.0,RINGWOOD
Bungunyah Apartments,"211 Dorset Rd, Croydon VIC 3136, Australia",4.5,RINGWOOD
Burwood East Motel,"355 Blackburn Road, Melbourne (burwood East) VIC 3151, Australia",4.0,RINGWOOD
Brady Hotels Central Melbourne,"30 Little La Trobe St, Melbourne VIC 3000, Australia",4.3,MELBOURNE
Best Western Melbourne City Hotel,"16 Spencer St, Melbourne VIC 3000, Australia",4.0,MELBOURNE
Holiday Inn Melbourne on Flinders,"575 Flinders Ln, Melbourne VIC 3000, Australia",4.3,MELBOURNE
Flagstaff City Inn,"45 Dudley St, West Melbourne VIC 3003, Australia",3.2,MELBOURNE
The Great Southern Hotel Melbourne,"44 Spencer St, Melbourne VIC 3000, Australia",3.7,MELBOURNE
City Centre Budget Hotel,"22 Little Collins St, Melbourne VIC 3000, Australia",3.7,MELBOURNE
Rendezvous Hotel Melbourne,"328 Flinders St, Melbourne VIC 3000, Australia",4.1,MELBOURNE
NOTEL,"388 Flinders Ln, Melbourne VIC 3000, Australia",4.5,MELBOURNE
The Victoria Hotel,"215 Little Collins St, Melbourne VIC 3000, Australia",4.1,MELBOURNE
Oaks Melbourne on William Suites,"350 William St, Melbourne VIC 3000, Australia",4.3,MELBOURNE
Causeway Inn On The Mall,"327 Bourke St, Melbourne VIC 3000, Australia",3.6,MELBOURNE
Miami Hotel Melbourne,"13 Hawke St, West Melbourne VIC 3003, Australia",4.1,MELBOURNE
Sheraton Melbourne Hotel,"27 Little Collins St, Melbourne VIC 3000, Australia",4.3,MELBOURNE
Arden Motel,"15 Arden St, North Melbourne VIC 3051, Australia",3.7,MELBOURNE
Nightcap at Ferntree Gully Hotel Motel,"1130 Burwood Hwy, Ferntree Gully VIC 3156, Australia",4.0,MELBOURNE
Comfort Hotel East Melbourne,"90 Albert St, East Melbourne VIC 3002, Australia",3.5,MELBOURNE
Clarion Suites Gateway,"1 William St, Melbourne VIC 3000, Australia",4.3,MELBOURNE
Essendon Motel,"93 Bulla Rd, Melbourne VIC 3041, Australia",2.8,MELBOURNE
ibis budget Melbourne CBD,"97-103 Elizabeth St, Melbourne VIC 3000, Australia",3.7,MELBOURNE
Rydges Melbourne,"186 Exhibition St, Melbourne VIC 3000, Australia",4.0,MELBOURNE
Melton Motor Inn,"344 High St, Melton VIC 3337, Australia",4.0,MELTON
Mantra Melbourne Melton,"2 Ferris Rd, Melton South VIC 3338, Australia",4.1,MELTON
Melbourne Garden Bed & Breakfast,"35 Outlook Ride, Kurunjang VIC 3337, Australia",4.8,MELTON
Bacchus Marsh Avenue Motel,"272 Main St, Bacchus Marsh VIC 3340, Australia",3.5,MELTON
Tabcorp Park,"2 Ferris Rd, Melton VIC 3337, Australia",4.2,MELTON
Quest Caroline Springs,"234 Caroline Springs Blvd, Caroline Springs VIC 3023, Australia",3.9,MELTON
Apple House,"9 Prism St, Tarneit VIC 3029, Australia",4.1,MELTON
Sunnyside Villa,"271-273 Main St, Bacchus Marsh VIC 3340, Australia",4.8,MELTON
Taylors Lakes Hotel,"7 Melton Hwy, Taylors Lakes VIC 3038, Australia",4.2,MELTON
Kepha House,"Canterbury Cct, Melton South VIC 3338, Australia",0.0,MELTON
Boyd Baker House,"305-307 Long Forest Rd, Long Forest VIC 3340, Australia",3.7,MELTON
The Black Horse Hotel,"80 Bulla Rd, Bulla VIC 3428, Australia",4.1,MELTON
Plumpton Estate Private,"1912/1962A Melton Hwy, Plumpton VIC 3335, Australia",0.0,MELTON
West City Motel,"610 Ballarat Rd, Ardeer VIC 3022, Australia",3.5,MELTON
WestWaters Hotel & Entertainment Complex,"10/20 Lake St, Caroline Springs VIC 3023, Australia",4.1,MELTON
Bacchus Marsh Caravan Park,"26 Main St, Bacchus Marsh VIC 3340, Australia",4.2,MELTON
Gisborne Motel,"106 Sheedy Rd, Gisborne VIC 3437, Australia",3.9,MELTON
The Plough @ Myrniong,"17 Main St, Myrniong VIC 3341, Australia",4.6,MELTON
Sunbury Motor Inn,"52 Ligar St, Sunbury VIC 3429, Australia",3.4,MELTON
Mildura Plaza Motor Inn,"836 Calder Hwy, Mildura VIC 3500, Australia",4.4,MILDURA
Sandors Motor Inn,"179 Deakin Ave, Mildura VIC 3500, Australia",4.3,MILDURA
Early Australian Motor Inn,"453/455 Deakin Ave, Mildura VIC 3500, Australia",4.0,MILDURA
Central Motel Mildura,"125 Madden Ave, Mildura VIC 3500, Australia",4.5,MILDURA
River City Motel,"830 Fifteenth St, Mildura VIC 3500, Australia",4.6,MILDURA
Seven Pines Motor Inn,"157 Seventh St, Mildura VIC 3500, Australia",4.4,MILDURA
Mid City Plantation Motel,"145 Deakin Ave, Mildura VIC 3550, Australia",4.1,MILDURA
Orana Motor Inn,"2101 Fifteenth St, Irymple VIC 3498, Australia",4.4,MILDURA
7th Street Motel,"153 Seventh St, Mildura VIC 3500, Australia",4.1,MILDURA
City Colonial Motor Inn,"24-30 Madden Ave, Mildura VIC 3500, Australia",4.8,MILDURA
Mildura Motor Inn,"376 Deakin Ave, Mildura VIC 3500, Australia",4.5,MILDURA
Vineland Motel,"363-365 Deakin Ave, Mildura VIC 3500, Australia",4.3,MILDURA
Commodore Motel,"18 Deakin Ave, Mildura VIC 3500, Australia",4.5,MILDURA
Mildura Riverview Motel,"72-74 Adelaide St, Gol Gol NSW 2739, Australia",4.4,MILDURA
Mildura Golf Resort,"287 Twelfth St, Mildura VIC 3500, Australia",4.0,MILDURA
Boulevard Motor Inn,"385 Deakin Ave, Mildura VIC 3500, Australia",4.5,MILDURA
Red Cliffs Colonial Motel,"17 Jacaranda St, Red Cliffs VIC 3496, Australia",4.2,MILDURA
Sunraysia Motel & Holiday Apartments,"441 Deakin Ave, Mildura VIC 3500, Australia",4.1,MILDURA
Stopover,"29 Lemon Ave, Mildura VIC 3500, Australia",4.3,MILDURA
Sun River Resort Motel,"5 Silver City Hwy, Buronga NSW 2739, Australia",4.0,MILDURA
Sugarloaf Motel,"3 Short St, Broadford VIC 3658, Australia",4.3,BROADFORD
Commercial Hotel Broadford,"31 High St, Broadford VIC 3658, Australia",4.2,BROADFORD
Fox On The Run Motel,"95 Sydney St, Kilmore VIC 3764, Australia",4.3,BROADFORD
Country Budget,"57 Englishs Rd, Broadford VIC 3658, Australia",0.0,BROADFORD
Hickey Vale Farm Lodge,"135 B Elliotts Rd, Broadford VIC 3658, Australia",5.0,BROADFORD
Royal Oak Hotel,"29/31 Sydney St, Kilmore VIC 3764, Australia",3.8,BROADFORD
Tallarook Hotel,"15 Main Rd, Tallarook VIC 3659, Australia",4.5,BROADFORD
Bindley House B&B Cottages,"20-22 Powlett St, Kilmore VIC 3764, Australia",4.9,BROADFORD
Wandong Australiana Motel Tavern,"Broadhurst Ln, Wandong VIC 3758, Australia",3.4,BROADFORD
Yeoy's Place,"40 Kippings Ln, Tallarook VIC 3659, Australia",4.9,BROADFORD
Halls on Falls Homestead,"440/444 Falls Ln, Strath Creek VIC 3658, Australia",5.0,BROADFORD
Kilmore Caravan Park,"108/110 Northern Hwy, Kilmore VIC 3764, Australia",3.7,BROADFORD
The Flowerdale Hotel,"3325 Whittlesea-Yea Rd, Flowerdale VIC 3717, Australia",4.3,BROADFORD
Wattle Motel,"9 Emily St, Seymour VIC 3660, Australia",4.3,BROADFORD
Seven Hills Tallarook,"160 Scotts Rd, Tallarook VIC 3659, Australia",4.2,BROADFORD
Kestrel Motor Inn,"99 Powlett St, Kilmore VIC 3764, Australia",2.1,BROADFORD
Trawool Cottages and Farmstay,"8447 Goulburn Valley Hwy, Trawool VIC 3660, Australia",4.4,BROADFORD
Flowerdale Estate,"2285 Broadford-Flowerdale Rd, Strath Creek VIC 3658, Australia",4.7,BROADFORD
The Trawool Estate,"8150 Goulburn Valley Hwy, Trawool VIC 3660, Australia",4.9,BROADFORD
Strath Valley View Bed & Breakfast,"1204 King Parrot Creek Rd, Strath Creek VIC 3658, Australia",5.0,BROADFORD
Regency Court Motel,"1 Main St, Cobram VIC 3644, Australia",4.5,COBRAM
Sunrise Motel,"85-87 Vermont St, Barooga NSW 3644, Australia",4.7,COBRAM
Cobram Central Motor Inn,"113-115 Station St, Cobram VIC 3644, Australia",2.5,COBRAM
El Sierra Motel,"183 Golf Course Rd, Barooga NSW 3644, Australia",4.0,COBRAM
Bullanginya Lodge,"7 Banker St, Barooga NSW 3644, Australia",4.4,COBRAM
Barooga River Gums Motor Inn,"15-17 Golf Course Rd, Barooga NSW 3644, Australia",4.8,COBRAM
Barooga Country Inn Motel,"Golf Course Rd, Barooga NSW 3644, Australia",4.3,COBRAM
Cobram Barooga Golf Resort,"105 Golf Course Rd, Barooga NSW 3644, Australia",4.1,COBRAM
Gazebo Motor Inn,"84-88 Main Street, Strathmerton VIC 3641, Australia",4.1,COBRAM
Barooga Golf View Motel,"Golf Course Rd, Barooga NSW 3644, Australia",4.2,COBRAM
Bakery Park Motor Inn,"85 Deniliquin St, Tocumwal NSW 2714, Australia",4.5,COBRAM
Sunset Villas Cobram,"4072 Murray Valley Hwy, Cobram VIC 3644, Australia",4.1,COBRAM
Kingswood Motel,"22-26 Kelly St, Tocumwal NSW 2714, Australia",4.4,COBRAM
High Noon Motel,"Barooga NSW 3644, Australia",3.0,COBRAM
Early Settlers Motel,"14 Barooga Rd, Tocumwal NSW 2714, Australia",3.9,COBRAM
Fairway Views Motor Inn Tocumwal,"32-34 Barooga Road, Tocumwal NSW 2714, Australia",4.8,COBRAM
Kanimbla Motor Inn,"41-47 Finley St, Tocumwal NSW 2714, Australia",4.3,COBRAM
Greenways Holiday Units,"22-28 Cobram St, Tocumwal NSW 2714, Australia",4.7,COBRAM
Tocumwal Bridge Motor Inn,"26 Bridge St, Tocumwal NSW 2714, Australia",4.5,COBRAM
El Toro Motel,"142 Melville St, Numurkah VIC 3636, Australia",3.9,COBRAM
Burwood East Motel,"355 Blackburn Road, Melbourne (burwood East) VIC 3151, Australia",4.0,GLEN WAVERLEY
Lamplighter Motel,"1440 Dandenong Rd, Oakleigh VIC 3166, Australia",3.0,GLEN WAVERLEY
The Mulgrave Motel (Formerly Mulgrave Court Motor Inn),"5 Harcourt Ave, Mulgrave VIC 3170, Australia",3.8,GLEN WAVERLEY
Sandown Heritage Motor Inn,"433 Princes Hwy, Noble Park VIC 3174, Australia",3.5,GLEN WAVERLEY
Motel Maroondah,"768 Whitehorse Rd, Mont Albert VIC 3127, Australia",2.5,GLEN WAVERLEY
Best Western Plus The Tudor,"1101 Whitehorse Rd, Box Hill VIC 3128, Australia",3.6,GLEN WAVERLEY
Chadstone Executive Motel,"1364 Dandenong Rd, Hughesdale VIC 3166, Australia",3.1,GLEN WAVERLEY
