accommodation_name,accommodation_address,accommodation_rating,accommodation_city
"Ambassador Motor Inn, Ballarat","1759 Sturt St, Alfredton VIC 3350, Australia",3.9,BALLARAT
Ballarat Miners Retreat Motel,"604-610 Eureka St, Ballarat Central VIC 3350, Australia",3.7,BALLARAT
Woodmanshill Motel,"9503 Western Hwy, Ballarat VIC 3352, Australia",3.8,BALLARAT
Phyl & May's Luxury Accommodation Ballarat,"412 Lydiard St N, Soldiers Hill VIC 3350, Australia",5.0,BALLARAT
Webster Apartment,"21 Webster St, Ballarat Central VIC 3350, Australia",4.7,BALLARAT
Eyre House,"1130 Eyre St, Newington VIC 3350, Australia",4.3,BALLARAT
Cardigan Lodge Motel,"741 Remembrance Dr, Cardigan Village VIC 3352, Australia",3.5,BALLARAT
Calbung Stays,"315 Windermere St, Ballarat Central VIC 3350, Australia",5.0,BALLARAT
Eastern Station Guest House,"79 Humffray St N, Ballarat East VIC 3350, Australia",1.8,BALLARAT
Wonthaggi Motel,"40-44 McKenzie St, Wonthaggi VIC 3995, Australia",4.3,WONTHAGGI
Kilcunda Ocean View Motel,"3529 Bass Hwy, Kilcunda VIC 3995, Australia",3.9,WONTHAGGI
Motel on A'Beckett,"24 Abeckett St, Inverloch VIC 3996, Australia",4.8,WONTHAGGI
Inverloch Motel,"39 Powlett St, Inverloch VIC 3996, Australia",4.3,WONTHAGGI
Inverloch Central Motor Inn,"32-34 Abeckett St, Inverloch VIC 3996, Australia",4.4,WONTHAGGI
Inverloch Cabins,"18 Williams St, Inverloch VIC 3996, Australia",4.4,WONTHAGGI
Golden Chain Quays Motel,"37/39 Phillip Island Rd, San Remo VIC 3925, Australia",4.6,WONTHAGGI
DriftAway Inverloch,"130 Surf Parade, Inverloch VIC 3996, Australia",0.0,WONTHAGGI
Pelicans Motel San Remo,"43 Back Beach Rd, San Remo VIC 3925, Australia",3.2,WONTHAGGI
Seabreeze Motel,"41 Forrest Ave, Newhaven VIC 3925, Australia",0.0,WONTHAGGI
Venus Bay Eco Retreat,"802 Lees Rd, Venus Bay VIC 3956, Australia",5.0,WONTHAGGI
Beilby By The Sea,"1 Beilby Ave, Inverloch VIC 3996, Australia",4.0,WONTHAGGI
Beach House Inverloch,"126 Surf Parade, Inverloch VIC 3996, Australia",4.8,WONTHAGGI
Coal Creek Motel,"8444 S Gippsland Hwy, Korumburra VIC 3950, Australia",3.6,WONTHAGGI
Cape Casa,"51 Panorama Dr, Cape Woolamai VIC 3925, Australia",0.0,WONTHAGGI
Drouin Motel,"275 Princes Way, Drouin VIC 3818, Australia",4.5,DROUIN
Comfort Inn & Suites Warragul,"1845 Princes Way, Warragul VIC 3820, Australia",4.1,DROUIN
Warragul Views Motor Inn,"50 Rulemount Rd, Warragul VIC 3820, Australia",3.7,DROUIN
Cora's Cottage,"12 Church St, Warragul VIC 3820, Australia",5.0,DROUIN
Yarragon Motel,"119 Princes Hwy, Yarragon VIC 3823, Australia",4.4,DROUIN
ANDERLEY,"312 Old Yarragon-Leongatha Rd, Yarragon South VIC 3823, Australia",4.7,DROUIN
Blerick Country Retreat,"55 McDougal Rd, Neerim South VIC 3831, Australia",1.0,DROUIN
Gracefield Cottage and Farmstead,"135 Latrobe River Rd, Neerim South VIC 3831, Australia",4.2,DROUIN
Accommodation - Yarragon Dairy Unit,"104-106 Waterloo Rd, Yarragon VIC 3823, Australia",3.5,DROUIN
Nightcap at Sandringham Hotel,"Cnr Beach &, Bay Rd, Sandringham VIC 3191, Australia",4.0,SANDRINGHAM
Best Western Plus Buckingham International,"1130 Nepean Hwy, Highett VIC 3190, Australia",4.1,SANDRINGHAM
Sandy Hill Serviced Apartments,"220 Bay Rd, Sandringham VIC 3191, Australia",4.3,SANDRINGHAM
Parkdale Motor Inn,"202-208 Nepean Hwy, Parkdale VIC 3195, Australia",3.3,SANDRINGHAM
The Sandy,"118 Beach Rd, Sandringham VIC 3191, Australia",3.7,SANDRINGHAM
Beaumaris Bay Motel,"31 Bodley St, Beaumaris VIC 3193, Australia",4.2,SANDRINGHAM
Sandbelt Club Hotel,"630 South Rd, Moorabbin VIC 3189, Australia",3.7,SANDRINGHAM
Kimberley Gardens Hotel,"441 Inkerman St, St Kilda East VIC 3183, Australia",4.4,SANDRINGHAM
Anchorage Apartments Hampton,"12 Railway Walk N, Hampton VIC 3188, Australia",3.8,SANDRINGHAM
33 on The Bay,"33 Bay Rd, Sandringham VIC 3191, Australia",5.0,SANDRINGHAM
Seaside Home,"35 Shelley St, Elwood VIC 3184, Australia",4.7,SANDRINGHAM
The Dingley Hotel,"334 Boundary Rd, Dingley Village VIC 3172, Australia",4.1,SANDRINGHAM
Quest Moorabbin serviced apartment,"3 Kingston Rd, Heatherton VIC 3202, Australia",4.2,SANDRINGHAM
Tolarno Hotel,"42 Fitzroy St, St Kilda VIC 3182, Australia",4.0,SANDRINGHAM
Marine Hotel,"215 New St, Brighton VIC 3186, Australia",3.6,SANDRINGHAM
Evancourt Motel,"1015/1019 Princes Hwy Service Rd, Malvern East VIC 3145, Australia",3.0,SANDRINGHAM
Quest Brighton on the Bay,"250 Esplanade, Brighton VIC 3186, Australia",4.0,SANDRINGHAM
Holiday Shacks Luxury Accommodation Mornington Peninsula,"41B Bluff Rd, Black Rock VIC 3193, Australia",4.0,SANDRINGHAM
Quest Cheltenham,"37-39 Station Rd, Cheltenham VIC 3192, Australia",4.1,SANDRINGHAM
BOUTIQUE STAYS – Sandy Side 3,"110 Bay Rd, Sandringham VIC 3191, Australia",0.0,SANDRINGHAM
Rose City Motor Inn,"1 Faithfull St, Benalla VIC 3672, Australia",4.0,BENALLA
Comfort Inn Benalla,"48-50 Bridge St W, Benalla VIC 3672, Australia",4.5,BENALLA
Glider City Motel,"2 Witt St, Benalla VIC 3672, Australia",4.6,BENALLA
Avondel Motor Inn,"21 Bridge St W, Benalla VIC 3672, Australia",4.2,BENALLA
Benalla Tourist Park & Motel,"105 Sydney Rd, Benalla VIC 3672, Australia",4.3,BENALLA
Top of the Town Motel,"136-138 Bridge St E, Benalla VIC 3672, Australia",4.5,BENALLA
"Executive Hideaway Motel/Apartments, Benalla","71 Samaria Rd, Benalla VIC 3672, Australia",4.5,BENALLA
North Eastern Hotel - The Northo,"1 Nunn St, Benalla VIC 3672, Australia",4.5,BENALLA
Longview Holiday Let,"282/70619 Upper Taminick Rd, Glenrowan VIC 3675, Australia",0.0,BENALLA
Motel Maroondah,"768 Whitehorse Rd, Mont Albert VIC 3127, Australia",2.5,CAMBERWELL
Best Western Plus The Tudor,"1101 Whitehorse Rd, Box Hill VIC 3128, Australia",3.6,CAMBERWELL
Evancourt Motel,"1015/1019 Princes Hwy Service Rd, Malvern East VIC 3145, Australia",3.0,CAMBERWELL
Lamplighter Motel,"1440 Dandenong Rd, Oakleigh VIC 3166, Australia",3.0,CAMBERWELL
Carnegie Motor Inn,"1102 Dandenong Rd, Carnegie VIC 3163, Australia",3.0,CAMBERWELL
Burwood East Motel,"355 Blackburn Road, Melbourne (burwood East) VIC 3151, Australia",4.0,CAMBERWELL
Chadstone Executive Motel,"1364 Dandenong Rd, Hughesdale VIC 3166, Australia",3.1,CAMBERWELL
TWO FIVE ZERO / RICHMOND,"Burnley St, Richmond VIC 3121, Australia",5.0,CAMBERWELL
Luxury House Rental,"94 Highett St, Richmond VIC 3121, Australia",5.0,CAMBERWELL
Yarra House Guest Rooms,"Yarra House, Fairfield VIC 3078, Australia",0.0,CAMBERWELL
Homelike in Glen Waverley,"569 Waverley Rd, Glen Waverley VIC 3150, Australia",3.4,CAMBERWELL
Sunshine Motor Inn,"608 Ballarat Rd, Ardeer VIC 3022, Australia",4.1,SUNSHINE
West City Motel,"610 Ballarat Rd, Ardeer VIC 3022, Australia",3.5,SUNSHINE
Footscray Motor Inn,"90 Droop St, Footscray VIC 3011, Australia",3.7,SUNSHINE
Essendon Motel,"93 Bulla Rd, Melbourne VIC 3041, Australia",2.8,SUNSHINE
Taylors Lakes Hotel,"7 Melton Hwy, Taylors Lakes VIC 3038, Australia",4.2,SUNSHINE
Palms Motel,"50 Geelong Rd, Footscray VIC 3011, Australia",2.5,SUNSHINE
Club Laverton,"15 Aviation Rd, Laverton VIC 3028, Australia",3.9,SUNSHINE
Lakeside Prestige Motel,"65 Melton Hwy, Taylors Lakes VIC 3038, Australia",3.8,SUNSHINE
Glendalough Bed & Breakfast,"197-199 Cashmere St, Travancore VIC 3032, Australia",4.5,SUNSHINE
Melbourne Holiday Apartments Williamstown,"3 Ferguson St, Williamstown VIC 3016, Australia",5.0,SUNSHINE
Docklands Executive Apartments,"8 Waterview Walk, Docklands VIC 3008, Australia",4.7,SUNSHINE
Newport Leadlight Haven,"27 Elphin St, Newport VIC 3015, Australia",5.0,SUNSHINE
Melbourne Lifestyle Apartments,"2202S/883 Collins St, Docklands VIC 3008, Australia",0.0,SUNSHINE
Mount Wycheproof Motor Inn,"360 Broadway, Wycheproof VIC 3527, Australia",4.3,WYCHEPROOF
Bottlemart Express - Royal Mail Hotel,"340 Broadway, Wycheproof VIC 3527, Australia",4.4,WYCHEPROOF
Echuca Rivergum Motor Inn,"85 Northern Hwy, Echuca VIC 3564, Australia",4.4,ECHUCA
Philadelphia Motor Inn,"340 Ogilvie Ave, Echuca VIC 3564, Australia",4.5,ECHUCA
Echuca Motel,"268 Ogilvie Ave, Echuca VIC 3564, Australia",3.7,ECHUCA
Old Coach Motor Inn,"288 Ogilvie Ave, Echuca VIC 3564, Australia",4.4,ECHUCA
Paddlewheel Motel,"389 High St, Echuca VIC 3564, Australia",4.3,ECHUCA
Big River Motel,"317 High St, Echuca VIC 3564, Australia",4.0,ECHUCA
The Settlement Historic Hotel,"405 High St, Echuca VIC 3564, Australia",3.8,ECHUCA
Riverboat Lodge Motor Inn - Echuca,"476 High St, Echuca VIC 3564, Australia",4.2,ECHUCA
Pevensey Motor Lodge,"365 High St, Echuca VIC 3564, Australia",4.2,ECHUCA
Georgian Motor Lodge,"373/375 High St, Echuca VIC 3564, Australia",4.8,ECHUCA
Golden River Motor Inn,"34 Meninya St, Moama NSW 2731, Australia",4.6,ECHUCA
High Street Motel,"439 High St, Echuca VIC 3564, Australia",4.2,ECHUCA
Echuca Nirebo Motel,"251 Hare St, Echuca VIC 3564, Australia",3.9,ECHUCA
River Country Inn,"79-81 Meninya St, Moama NSW 2731, Australia",4.3,ECHUCA
Riverpark Motel,"13 Shaw St, Moama NSW 2731, Australia",4.7,ECHUCA
A Room for U,"62 Northern Hwy, Echuca VIC 3564, Australia",3.5,ECHUCA
Adelphi Apartments,"25 Campaspe St, Echuca VIC 3564, Australia",4.9,ECHUCA
Moama Central Motel,"45 Meninya St, Moama NSW 2731, Australia",4.4,ECHUCA
Bridges on Meninya,"38 Meninya St, Moama NSW 2731, Australia",4.7,ECHUCA
River Village Motel & Holiday Units,"310 Bangerang Rd, Echuca VIC 3564, Australia",3.3,ECHUCA
Beaconsfield Lodge Motel,"3-7 Souter St, Beaconsfield VIC 3807, Australia",2.4,OFFICER
Pakenham Park Motel,"14 Toomuc Valley Rd, Pakenham VIC 3810, Australia",3.1,OFFICER
Cranbourne Motor Inn,"1449 S Gippsland Hwy, Cranbourne VIC 3977, Australia",3.1,OFFICER
Koo Wee Rup Motel,"132 Station St, Koo Wee Rup VIC 3981, Australia",4.2,OFFICER
Casey on Princes Motel,"218 Princes Hwy, Hallam VIC 3803, Australia",3.6,OFFICER
Ttekceba Retreat,"120 A'Beckett Rd, Beaconsfield Upper VIC 3808, Australia",4.4,OFFICER
Dandenong Motel,"147 Princes Hwy, Dandenong VIC 3175, Australia",3.5,OFFICER
Prince Mark Motor Inn,"4 Power Rd, Doveton VIC 3177, Australia",3.7,OFFICER
Sandown Heritage Motor Inn,"433 Princes Hwy, Noble Park VIC 3174, Australia",3.5,OFFICER
Orchard Cottage,"485 Toomuc Valley Rd, Pakenham VIC 3810, Australia",5.0,OFFICER
Paddys Creek Retreat Guesthouse,"29 Mast Gully Rd, Upwey VIC 3158, Australia",0.0,OFFICER
BIG4 Dandenong Tourist Park,"370 Frankston - Dandenong Rd, Dandenong South VIC 3175, Australia",4.0,OFFICER
Emerald Backpackers Hostel,"2 Lakeview Ct, Emerald VIC 3782, Australia",4.0,OFFICER
Japanese Slipper,"312 Glenfern Rd, Upwey VIC 3158, Australia",4.2,OFFICER
The Heart Of Emerald Bed & Breakfast,"14 Kilvington Dr, Emerald VIC 3782, Australia",4.8,OFFICER
Emerald Creek Cottages,"135 Emerald-Monbulk Rd, Emerald VIC 3782, Australia",4.5,OFFICER
Cottages Monreale,"81 The Crescent, Sassafras VIC 3787, Australia",3.7,OFFICER
Casey on Princes Motel,"218 Princes Hwy, Hallam VIC 3803, Australia",3.6,NARRE WARREN
Beaconsfield Lodge Motel,"3-7 Souter St, Beaconsfield VIC 3807, Australia",2.4,NARRE WARREN
Cranbourne Motor Inn,"1449 S Gippsland Hwy, Cranbourne VIC 3977, Australia",3.1,NARRE WARREN
Prince Mark Motor Inn,"4 Power Rd, Doveton VIC 3177, Australia",3.7,NARRE WARREN
Dandenong Motel,"147 Princes Hwy, Dandenong VIC 3175, Australia",3.5,NARRE WARREN
Sandown Heritage Motor Inn,"433 Princes Hwy, Noble Park VIC 3174, Australia",3.5,NARRE WARREN
Carrum Downs Motel,"1165 Frankston - Dandenong Rd, Carrum Downs VIC 3201, Australia",3.7,NARRE WARREN
Pakenham Park Motel,"14 Toomuc Valley Rd, Pakenham VIC 3810, Australia",3.1,NARRE WARREN
Sandhurst Motel,"1325 Frankston - Dandenong Rd, Carrum Downs VIC 3201, Australia",3.7,NARRE WARREN
Caravan Parks of Australia Frankston Holiday Park,"1325 Frankston - Dandenong Rd, Carrum Downs VIC 3201, Australia",4.0,NARRE WARREN
BIG4 Dandenong Tourist Park,"370 Frankston - Dandenong Rd, Dandenong South VIC 3175, Australia",4.0,NARRE WARREN
Ttekceba Retreat,"120 A'Beckett Rd, Beaconsfield Upper VIC 3808, Australia",4.4,NARRE WARREN
The Mulgrave Motel (Formerly Mulgrave Court Motor Inn),"5 Harcourt Ave, Mulgrave VIC 3170, Australia",3.8,NARRE WARREN
The Heart Of Emerald Bed & Breakfast,"14 Kilvington Dr, Emerald VIC 3782, Australia",4.8,NARRE WARREN
Japanese Slipper,"312 Glenfern Rd, Upwey VIC 3158, Australia",4.2,NARRE WARREN
Cottages Monreale,"81 The Crescent, Sassafras VIC 3787, Australia",3.7,NARRE WARREN
Emerald Creek Cottages,"135 Emerald-Monbulk Rd, Emerald VIC 3782, Australia",4.5,NARRE WARREN
Paddys Creek Retreat Guesthouse,"29 Mast Gully Rd, Upwey VIC 3158, Australia",0.0,NARRE WARREN
Orchard Cottage,"485 Toomuc Valley Rd, Pakenham VIC 3810, Australia",5.0,NARRE WARREN
Emerald Backpackers Hostel,"2 Lakeview Ct, Emerald VIC 3782, Australia",4.0,NARRE WARREN
Wattle Grove Motel,"65 Derby Rd, Maryborough VIC 3465, Australia",4.8,MARYBOROUGH
Junction Motel,"2 High St, Maryborough VIC 3465, Australia",4.8,MARYBOROUGH
Highlander Haven Motel,"72 Sutton Rd, Maryborough VIC 3465, Australia",4.2,MARYBOROUGH
Bristol Hill Motor Inn,"1 High St, Maryborough VIC 3465, Australia",4.5,MARYBOROUGH
Golden Country Motel & Caravan Park,"134 Park Rd, Maryborough VIC 3465, Australia",4.2,MARYBOROUGH
Carisbrook Country Retreat Motel,"85 Simson St, Carisbrook VIC 3464, Australia",4.2,MARYBOROUGH
Lochinver Farm Homestead & Cottages,"245 Baringhup Rd, Carisbrook VIC 3464, Australia",4.9,MARYBOROUGH
On The Creek,"46 Simson St, Carisbrook VIC 3464, Australia",5.0,MARYBOROUGH
Dunolly Golden Triangle Motel,"1846 Maryborough-Dunolly Rd, Dunolly VIC 3472, Australia",4.6,MARYBOROUGH
Colac Mid City Motor Inn,"289 Murray St, Colac VIC 3250, Australia",4.1,COLAC
Baronga Motor Inn,"35 Murray St E, Colac VIC 3250, Australia",4.0,COLAC
Colac Central Hotel-Motel,"10 Murray St, Colac VIC 3250, Australia",4.0,COLAC
Otway Gate Motel,"52/56 Murray St E, East Colac VIC 3250, Australia",4.5,COLAC
The Union Club Hotel Colac,"110 Murray St, Colac VIC 3250, Australia",3.7,COLAC
Lake Colac Caravan Park,"51 Fyans St, Colac VIC 3250, Australia",4.1,COLAC
Colac Otway Caravan and Cabin Park,"490 Princes Hwy, Colac West VIC 3250, Australia",4.2,COLAC
Colac Murrays Hill B&B accommodation,"125 Colac-Forrest Rd, Colac East VIC 3250, Australia",3.8,COLAC
Royal Mail Hotel Birregurra,"49 Main St, Birregurra VIC 3242, Australia",4.0,COLAC
Coragulac House,"895 Corangamite Lake Rd, Coragulac VIC 3249, Australia",5.0,COLAC
Wanawong Retreat,"950 Colac-Lavers Hill Rd, Barongarook VIC 3249, Australia",4.5,COLAC
Maids Quarters Coragulac House Cottages,"895 Corangamite Lake Rd, Coragulac VIC 3249, Australia",5.0,COLAC
Harvest Birregurra Bed & Breakfast,"72 Beal St, Birregurra VIC 3242, Australia",5.0,COLAC
Brae Restaurant,"4285 Cape Otway Rd, Birregurra VIC 3242, Australia",4.5,COLAC
Gellibrand River Gallery,"14 Main Rd, Gellibrand VIC 3239, Australia",4.0,COLAC
Tarndwarncoort,"37 Roseneath Rd, Warncoort VIC 3243, Australia",0.0,COLAC
Idyllic Retreat for 4 People in Beautiful Otway Ranges Recharge & Refresh in Hot Tub,"10 Hoveys Rd, Barongarook VIC 3249, Australia",0.0,COLAC
Elliminook Homestead,"585 Warncoort-Birregurra Rd, Birregurra VIC 3242, Australia",4.0,COLAC
Forrest Caravan Park/ The Wonky Stables Holiday Park,"1 Station St, Forrest VIC 3236, Australia",3.5,COLAC
Camperdown Cascade Motel,"311 Manifold St, Camperdown VIC 3260, Australia",4.1,CAMPERDOWN
Manifold Motor Inn,"295 Manifold St, Camperdown VIC 3260, Australia",4.6,CAMPERDOWN
Amble Inn Motel,"71 Manifold St, Camperdown VIC 3260, Australia",3.2,CAMPERDOWN
The Camperdown Mill,"3-5 Curdie St, Camperdown VIC 3260, Australia",4.6,CAMPERDOWN
Lakes and Craters Holiday Park,"220 Park Rd, Camperdown VIC 3260, Australia",4.1,CAMPERDOWN
Camperdown Accommodation: Edwardia short-stay,"194a Manifold St, Camperdown VIC 3260, Australia",4.7,CAMPERDOWN
Dalvue Motel,"Princes Hwy & McKinnon Street, Terang VIC 3264, Australia",4.6,CAMPERDOWN
Cobden Roadhouse Motel,"1236 Camperdown-Cobden Rd, Cobden VIC 3266, Australia",4.6,CAMPERDOWN
Cobden Crest Cottages,"300 Cobden-Port Campbell Rd, Cobden VIC 3266, Australia",4.8,CAMPERDOWN
Timboon House,"320 Old Geelong Rd, Camperdown VIC 3260, Australia",4.7,CAMPERDOWN
Bell Motel,"2 Patterson St, Preston VIC 3072, Australia",4.1,PRESTON
Mantra Bell City Preston,"215 Bell St, Preston VIC 3072, Australia",3.6,PRESTON
St Georges Motor Inn,"334 St Georges Rd, Thornbury VIC 3071, Australia",4.0,PRESTON
Quest Preston,"520 High St, Preston VIC 3072, Australia",0.0,PRESTON
Katie's Antique House,"54 Oxford Dr, Thomastown VIC 3074, Australia",1.0,PRESTON
Brunswick Tower Hotel,"188 Moreland Rd, Brunswick VIC 3056, Australia",3.6,PRESTON
Parkside Inn Motel & Conference Centre,"1045 Plenty Rd, Bundoora VIC 3083, Australia",3.2,PRESTON
The Nunnery Accommodation,"116 Nicholson St, Fitzroy VIC 3065, Australia",4.1,PRESTON
Meadow Inn Hotel-Motel,"1435 Sydney Rd, Fawkner VIC 3061, Australia",3.6,PRESTON
Jasper Hotel,"489 Elizabeth St, Melbourne VIC 3000, Australia",4.1,PRESTON
The Best Western Plus Travel Inn Hotel,"225 Drummond St, Carlton VIC 3053, Australia",4.1,PRESTON
Melrose Apartments,"171 Melrose St, North Melbourne VIC 3051, Australia",4.4,PRESTON
Best Western Mahoneys Motor Inn,"47A Mahoneys Rd, Reservoir VIC 3073, Australia",3.7,PRESTON
Summerhill Hotel,"840 Plenty Rd, Reservoir VIC 3073, Australia",3.9,PRESTON
Hume Villa Motor Inn,"1324 Sydney Rd, Fawkner VIC 3060, Australia",3.9,PRESTON
Coburg Motor Inn,"726 Sydney Rd, Coburg North VIC 3058, Australia",2.6,PRESTON
Artel Apartments Hotel Brunswick,"756 Sydney Rd, Brunswick VIC 3056, Australia",4.4,PRESTON
Quest Ivanhoe,"72/84 Upper Heidelberg Rd, Ivanhoe VIC 3079, Australia",4.1,PRESTON
Best Western Fawkner Suites & Serviced Apartments,"1164 Sydney Rd, Fawkner VIC 3060, Australia",4.5,PRESTON
Parc,"1091 Plenty Rd, Bundoora VIC 3083, Australia",4.4,PRESTON
Bairnsdale Main Motel,"544 Main St, Bairnsdale VIC 3875, Australia",4.3,BAIRNSDALE
Colonial Motor Inn Bairnsdale (Golden Chain Motel),"335 Main St, Bairnsdale VIC 3875, Australia",4.5,BAIRNSDALE
Tanjil Motor Inn,"384 Main St, Bairnsdale VIC 3875, Australia",4.3,BAIRNSDALE
Bairnsdale Kansas City Motel,"310 Main St, Bairnsdale VIC 3875, Australia",4.1,BAIRNSDALE
Bairnsdale Motel,"42 Great Alpine Rd, Lucknow VIC 3875, Australia",4.7,BAIRNSDALE
Travellers Rest Motel,"49 Main St, Bairnsdale VIC 3875, Australia",3.4,BAIRNSDALE
Town Central Motel,"164 Nicholson St, Bairnsdale VIC 3875, Australia",4.3,BAIRNSDALE
Mitchell On Main,"291-295 Main St, Bairnsdale VIC 3875, Australia",4.2,BAIRNSDALE
Bairnsdale Comfort Inn,"598 Main St, Bairnsdale VIC 3875, Australia",5.0,BAIRNSDALE
Mariners Cove Motel at Paynesville,"2-8 Victoria St, Paynesville VIC 3880, Australia",4.5,BAIRNSDALE
Gippsland Lakehouse,"9 The Inlet, Paynesville VIC 3880, Australia",4.8,BAIRNSDALE
Down to Earth Farm Retreat,"164 Mulhollands Rd, Sarsfield VIC 3875, Australia",5.0,BAIRNSDALE
Acacia Lakehouse,"270 Wattle Point Rd, Forge Creek VIC 3875, Australia",5.0,BAIRNSDALE
Carrum Downs Motel,"1165 Frankston - Dandenong Rd, Carrum Downs VIC 3201, Australia",3.7,FRANKSTON
Caravan Parks of Australia Frankston Holiday Park,"1325 Frankston - Dandenong Rd, Carrum Downs VIC 3201, Australia",4.0,FRANKSTON
Sandhurst Motel,"1325 Frankston - Dandenong Rd, Carrum Downs VIC 3201, Australia",3.7,FRANKSTON
Baxter Tavern & Motel,"117 Baxter-Tooradin Rd, Baxter VIC 3911, Australia",4.1,FRANKSTON
Seaford Beach Cabin Park,"257 Nepean Hwy, Seaford VIC 3198, Australia",3.8,FRANKSTON
Cranbourne Motor Inn,"1449 S Gippsland Hwy, Cranbourne VIC 3977, Australia",3.1,FRANKSTON
Mornington Motel,"334 Main St, Mornington VIC 3931, Australia",4.0,FRANKSTON
BIG4 Mornington Peninsula Holiday Park - Frankston,"2 Robinsons Rd, Frankston South VIC 3199, Australia",4.1,FRANKSTON
Norwood House Receptions & Motel Mount Eliza,"1198 Nepean Hwy, Mount Eliza VIC 3930, Australia",3.8,FRANKSTON
The Cheeky Squire Hotel,"510 Nepean Hwy, Frankston VIC 3199, Australia",4.4,FRANKSTON
Aspendale Shore Motel,"31 Nepean Hwy, Aspendale VIC 3195, Australia",3.0,FRANKSTON
Beaumaris Bay Motel,"31 Bodley St, Beaumaris VIC 3193, Australia",4.2,FRANKSTON
Casey on Princes Motel,"218 Princes Hwy, Hallam VIC 3803, Australia",3.6,FRANKSTON
Ranch Motel,"Nepean Hwy, Mornington VIC 3931, Australia",3.3,FRANKSTON
Dandenong Motel,"147 Princes Hwy, Dandenong VIC 3175, Australia",3.5,FRANKSTON
By The Seaside Accommodation,"18 Nunns Rd, Mornington VIC 3931, Australia",4.1,FRANKSTON
BIG4 Dandenong Tourist Park,"370 Frankston - Dandenong Rd, Dandenong South VIC 3175, Australia",4.0,FRANKSTON
Prince Mark Motor Inn,"4 Power Rd, Doveton VIC 3177, Australia",3.7,FRANKSTON
