,Title,City
72,Burchall's Cathedral Hotel Taggerty,Cathedral Range
73,"Nelson Hotel, Gippsland",Gippsland
74,M. Cutts Cricket Club Hotel,Flemington
75,"Grand Hotel, Melbourne",Melbourne
76,Grand Hotel,Melbourne
77,"Richmond - Hawthorn Horse Bus, at Governor Hotham Hotel, Burwood Road, Hawthorn",Hawthorn
78,Wallach's Furnishing Warehouse,Elizabeth Street
79,"Former hotel, cnr of Stevenson and Macquarie Streets, Williamstown, Victoria",Williamstown
80,"41 The Strand, Williamstown, Victoria",Williamstown
81,Town of Porepunkah near Buffalo Mountains,Buffalo; Mount Victoria; Porepunkah
82,"Mahon's Yarra Hotel - 295 Johnson Street, Abbotsford Victoria",Abbotsford
83,"Berwick Hotel, Berwick, Victoria",Berwick
84,"Berwick Hotel, Berwick, Victoria",Berwick
85,"Berwick Hotel, Berwick, Victoria",Berwick
86,"Berwick Hotel, Berwick, Victoria",Berwick
87,Mcdonald's Foundry Hotel,Ballarat
88,"Grand Hotel, Yarra Glen, Victoria",Yarra Glen
89,"Mulgrave Arms Hotel, Dandenong Road, Mulgrave, Victoria",Mulgrave
90,"View of Film House and other buildings on Bourke Street, Melbourne",Bourke Street
91,"Exterior views of The National Hotel, 238 Victoria Street, North Melbourne",Victoria Street
92,"Exterior views of The National Hotel, 238 Victoria Street, North Melbourne",North Melbourne
93,"Interior views of Hotel Dining Rooms, Hepburn Springs",Hepburn Springs
94,"Interior views of Hotel Dining Rooms, Hepburn Springs",Hepburn Springs
95,Exterior view of Hepburn Mineral Springs Hotel,Hepburn Springs
96,Exterior view of Hepburn Mineral Springs Hotel,Hepburn Springs
97,Exterior view of Prince of Wales Hotel,Fitzroy Street
98,"Main Street, Minyip, Victoria",Minyip
99,"Main Street, Minyip, Victoria",Minyip
100,The East Dark Fire Brigade on Parade,Maryborough
101,"St Andrews Hotel, ",St. Andrews
102,Briagolong Hotel,Briagolong
103,Timboon Hotel,Camperdown
104,"The Hopkins Hotel, Wickliffe",Wickliffe
105,Elsternwick Hotel April 16/75,Elsternwick
106,"Castlemaine - Sandhurst Coach Outside, railway Hotel",Castlemaine
107,Connelly's Australian Hotel,Victoria
108,"Terminus Hotel, Mercer Street, Geelong",Mercer Street
109,"Broadway Gardens, Yallourn Hotel and Railway Station",Yallourn
110,"Hotel and garage owned by Williams and Raynor on Railway Avenue, Yallourn",Yallourn
111,"Hotel on corner of Railway Ave and Broadway, before garage was built, from railway yards, Yallourn",Yallourn
112,Yallourn Hotel - Williams & Rayner Garage,Yallourn
113,"Flinders Street, Melbourne",Flinders Street
114,"Melbourne Steamship Co. annual picnic outside Hotel Brittannia, Williamstown",Williamstown
115,"No. 15: The Sailors' Rest, Ann Street, Williamstown, about 1885",Williamstown
116,"Hotel & Butchers, Walhalla",Walhalla
117,"Black Spur Hotel, Narbethong, Vic",Narbethong
118,"Black Spur Hotel, Narbethong, Vic",Narbethong
119,"Bentinck Street, Portland",Portland
120,Woman and man at the Dorchester,Melbourne
121,Tarnagulla Hotel,Tarnagulla
122,Horse team for agricultural activity at Lorne,Lorne
123,"Easter 1913, possibly Cowes, Victoria",Cowes
124,"Alexandra, picture",Alexandra
125,"Entrance to Omeo from Tongio, 1920",Omeo
126,Menzies Hotel,Melbourne
127,"L.A. Sierakowski's Hotel Orient, Bairnsdale",Bairnsdale
128,"Red Robin Inn, Traralgon, Vic",Traralgon
129,"Hotel Continental, Sorrento, Victoria",Sorrento
130,"Portion of Township, Sorrento, Victoria",Sorrento
131,"Buxton Hotel, Junction of Marysville & Narbethong Rds",Buxton
132,"Paynesville Wharf, Gippsland Lakes 1915",Paynesville
133,"Melbourne Centenary Celebrations, Spring St",Melbourne
134,"Windsor Hotel, Melbourne Centenary celebrations",Melbourne
135,"Upper Yarra Hotel, Proprietor R. E. Mcveigh, Beside The Yarra River",Upper Yarra
136,"Near Orbost, Victoria, Connley's Cann River Hotel",Cann River
137,Bruthen-inn Hotel,Bruthen
138,The New Rosedale Hotel,Rosedale
139,"Berwick 1887, 28 miles from Melbourne",Berwick
140,"White Horse Hotel, Tarnagulla, Victoria",Tarnagulla
141,"Australian Hotel, Victoria",Victoria
142,"New Chum, (now Llanelly) 1865, Victoria",Llanelly
143,"Rose of Denmark Hotel, Collingwood, Victoria",Collingwood
144,"United Service Club Hotel, Fitzroy, Victoria",Collingwood
145,"Phoenix Hotel, Victoria",Brunswick
146,"Gow's Hotel, Dargo High Plains, Victoria",Victoria
147,"Grand Hotel, Mildura, Victoria",Mildura
148,"Murray Hotel, Mildura, Victoria",Mildura
149,"Auctioneers & Estate Agents Association of Victoria, cricket match, 8 March 1900",Sandringham
150,Castlemaine Jail,Castlemaine
151,"Grantville, Victoria",Grantville
152,"Grantville, Victoria",Grantville
153,"Grand Hotel, Melbourne",Melbourne
154,Powlett Hostel,Victoria
155,"Continental Hotel, Sorrento, Near Melbourne",Sorrento
156,View across paddocks towards Lorne Hotel,Lorne
157,Looking across street towards Corner Hotel,Victoria
158,The Moe Hotel,Moe
159,"Skipton Road, Linton",Linton
160,"Old Lamb Inn, 1858",Melbourne
161,New Hotel at Clifton Hill for Mrs. J. anderson,Clifton Hill
162,New Hotel at Clifton Hill for Mrs. J. anderson,Clifton Hill
163,New Hotel at Clifton Hill for Mrs. J. anderson,Clifton Hill
164,San Remo Hotel,Phillip Island
165,"Launching Place, Victoria",Launching Place
166,"Building On Mordialloc Creek, Possibly The Bridge Hotel?",Mordialloc Creek
167,"Launching Place, Victoria",Launching Place
168,"Scenes at Mordialloc, Victoria",Mordialloc
169,"Scenes at Mordialloc, Victoria",Mordialloc
170,"Scenes at Mordialloc, Victoria",Mordialloc
171,"Scenes at Mordialloc, Victoria",Mordialloc
172,"Bunnyip Hotel, North Gippsland",Bunyip
173,Hotel at Morang,Morang Victoria
174,"Sorento Hotel, Sorento",Sorrento
175,"Continental Hotel, Sorento",Sorrento
176,Morrison's Royal Mail Hotel,Healesville
177,"Bourke St, looking West from Spring Street",Bourke Street
178,Street Scene Echuca,Echuca
179,Peg's Grandfather's Hotel,Victoria
180,Grandfather's Hotel,Victoria
181,Wiggins Leura Hotel,Camperdown
182,"White Horse Hotel, Box Hill",Box Hill
183,"White Horse Hotel, Box Hill",Box Hill
184,Adam & Eve Hotel,Melbourne
185,Adam & Eve Hotel,Melbourne
186,Adam & Eve Hotel,Melbourne
187,Buck's Head Hotel,Melbourne
188,Buck's Head Hotel,Melbourne
189,Sarah Sands Hotel,Brunswick
190,"Aerial view of the Chevron Complex, Street Kilda Road, Melbourne, Victoria",St. Kilda Road
191,Adam L. Gordon's Room - Adam & Eve Hotel,Melbourne
192,"Marine Hotel, Brighton, Victoria",Brighton
193,Shamrock Hotel Bendigo Victoria / Bartlett Bros,Bendigo
