LGAcode,Council,_2018,_2019,_2018_2019,percentagechange,Naturalincrease,Netinternalmigration,Netoverseasmigration,Areasqkm,Populationdensity
22830,GreaterSheppartonC,66008,66498,490,0.7,312,-355,533,2421.9,27.5
22910,HepburnS,15812,15975,163,1.0,-9,124,48,1473.0,10.8
22980,HindmarshS,5644,5588,-56,-1.0,-45,-25,14,7524.2,0.7
23110,HobsonsBayC,96481,97751,1270,1.3,674,-508,1104,64.2,1521.6
23190,HorshamRC,19874,19921,47,0.2,75,-85,57,4266.8,4.7
23270,HumeC,224423,233471,9048,4.0,2698,3129,3221,503.9,463.4
23350,IndigoS,16489,16701,212,1.3,16,166,30,2040.1,8.2
23430,KingstonC,163452,165782,2330,1.4,711,-523,2142,91.4,1814.4
23670,KnoxC,163212,164538,1326,0.8,814,-899,1411,113.9,1444.4
23810,LatrobeC,75209,75561,352,0.5,111,1,240,1425.6,53.0
23940,LoddonS,7513,7504,-9,-0.1,-21,-2,14,6696.4,1.1
24130,MacedonRangesS,49387,50231,844,1.7,202,488,154,1748.3,28.7
24210,ManninghamC,125535,127573,2038,1.6,94,-27,1971,113.3,1125.5
24250,MansfieldS,8979,9176,197,2.2,2,132,63,3843.9,2.4
24330,MaribyrnongC,91413,93448,2035,2.2,823,-886,2098,31.2,2992.7
24410,MaroondahC,117505,118558,1053,0.9,625,-706,1134,61.4,1930.6
24600,MelbourneC,170317,178955,8638,5.1,841,-800,8597,37.4,4791.1
24650,MeltonC,156718,164895,8177,5.2,1985,4849,1343,527.5,312.6
24780,MilduraRC,55516,55777,261,0.5,234,-433,460,22082.5,2.5
24850,MitchellS,44298,46082,1784,4.0,355,1197,232,2862.1,16.1
24900,MoiraS,29797,29925,128,0.4,6,10,112,4046.4,7.4
24970,MonashC,200212,202847,2635,1.3,367,-3900,6168,81.5,2489.4
25060,MooneeValleyC,127906,130294,2388,1.9,619,31,1738,43.1,3020.4
25150,MooraboolShireC,34156,35049,893,2.6,239,574,80,2110.6,16.6
25250,MorelandC,181780,185767,3987,2.2,1364,-925,3548,51.0,3645.9
25340,MorningtonPeninsulaS,165823,167636,1813,1.1,116,1000,697,724.2,231.5
25430,MountAlexanderS,19514,19754,240,1.2,-35,208,67,1529.6,12.9
25490,MoyneShireC,16887,16953,66,0.4,53,-57,70,5481.7,3.1
25620,MurrindindiS,14478,14570,92,0.6,-16,56,52,3879.8,3.8
25710,NillumbikS,64941,65094,153,0.2,294,-450,309,432.3,150.6
25810,NorthernGrampiansS,11430,11402,-28,-0.2,-13,-57,42,5729.9,2.0
25900,PortPhillipC,113265,115601,2336,2.1,754,-604,2186,20.7,5582.1
25990,PyreneesS,7353,7472,119,1.6,-1,111,9,3434.6,2.2
26170,SouthGippslandS,29575,29914,339,1.1,9,255,75,3296.3,9.1
26260,SouthernGrampiansS,16134,16100,-34,-0.2,6,-100,60,6654.0,2.4
26350,StonningtonC,116281,117768,1487,1.3,420,-1048,2115,25.7,4591.1
26430,StrathbogieS,10644,10781,137,1.3,-22,121,38,3303.3,3.3
26490,SurfCoastS,32252,33456,1204,3.7,169,860,175,1552.9,21.5
26610,SwanHillRuralC,20760,20649,-111,-0.5,93,-353,149,6115.3,3.4
26670,TowongShireC,6054,6040,-14,-0.2,-23,1,8,6674.9,0.9
26700,WangarattaRC,29086,29187,101,0.3,10,13,78,3645.1,8.0
26730,WarrnamboolC,34863,35181,318,0.9,79,-62,301,120.9,290.9
26810,WellingtonS,44017,44380,363,0.8,96,84,183,10817.3,4.1
26890,WestWimmeraS,3862,3841,-21,-0.5,0,-25,4,9108.2,0.4
26980,WhitehorseC,176273,178739,2466,1.4,507,-2305,4264,64.3,2780.6
27070,WhittleseaC,223347,230238,6891,3.1,2270,1556,3065,489.7,470.2
27170,WodongaC,41429,42083,654,1.6,266,193,195,432.7,97.3
27260,WyndhamC,255367,270487,15120,5.9,4039,6392,4689,542.1,499.0
27350,YarraC,98567,101495,2928,3.0,693,334,1901,19.5,5193.6
27450,YarraRangesS,158171,159462,1291,0.8,1137,-480,634,2468.2,64.6
27630,YarriambiackS,6658,6639,-19,-0.3,-51,18,14,7325.8,0.9
